MB_TOTALES,FACTURACION_TOTAL_IMPUESTOS,FACTURACION_CUOTA,SEGUNDOS_LLAMADA_RED_PROPIA,SEGUNDOS_LLAMADA_ENTRANTE_RED_PROPIA,EDAD,DIAS_PRIMERA_CUENTA,NUM_CANCELACIONES,NUM_LINEAS_POSPAGO_TOTAL,TERMINO_FACTURACION,NUM_DIAS_ACTIVO,MINUTOS_LLAMADAS_MENSUALES,NUM_DIAS_BUNDLE,KPI_IMPUESTOS,PENETRACION_FIJO_ZONA,MES_MES,TARGET
232.12159729003903,10.185999810695648,0.0,4523.0,28.0,39.0,44.0,0.0,1.0,0.0,44.0,21.683399438858032,0.0,1.767799735069275,0.2646122213585417,1.0,0
18280.29296875,32.005001068115234,26.45000076293945,13288.0,49.0,25.0,387.0,1.0,2.0,0.0,387.0,166.0500068664551,435.0,5.55500030517578,0.3801708744265268,11.0,0
2141.6928100585933,37.44200134277344,31.399999618530277,13.0,0.0,47.0,1389.0,0.0,2.0,4.0,1389.0,108.85010194778442,0.0,2.042001724243164,0.1560414929107589,6.0,0
3181.98649597168,20.00100040435791,16.529999732971195,0.0,0.0,43.0,154.0,2.0,3.0,0.0,154.0,65.79989856481552,0.0,3.4710006713867188,0.2288102184025861,6.0,1
25626.083984375,37.00500106811523,26.45000076293945,72783.0,151.0,40.0,2205.0,0.0,1.0,5.0,2205.0,519.6833050251008,1.0,5.55500030517578,0.2102858416448431,1.0,1
3315.0269775390625,45.99100017547608,33.049999237060554,9074.0,74.0,39.0,333.0,1.0,3.0,6.0,62.0,124.49989974498747,0.0,6.941000938415527,0.1994509005704007,4.0,0
6744.53369140625,114.61100140213966,70.42000007629393,41811.0,229.0,56.0,2119.0,1.0,4.0,13.0,2119.0,1243.516787994653,0.0,17.635801255702972,0.292565119889598,2.0,1
16920.810546875,28.798001050949093,26.45000076293945,581.0,5.0,36.0,1058.0,0.0,1.0,0.0,1058.0,336.433300614357,3.0,4.998000383377075,0.299551179962357,4.0,0
4892.9951171875,18.996999740600582,15.699999809265137,4540.0,21.0,28.0,965.0,1.0,2.0,0.0,965.0,59.900099754333496,643.0,3.2969999313354488,0.3801708744265268,8.0,0
1520.9952392578125,19.11799973994493,15.699999809265137,6616.0,41.0,46.0,1869.0,0.0,1.0,0.0,1869.0,39.43330025672913,1.0,3.3179999291896816,0.2380272652270137,12.0,0
13808.9658203125,32.005001068115234,26.45000076293945,11251.0,26.0,20.0,121.0,0.0,0.0,0.0,0.0,183.38339805603027,0.0,5.55500030517578,0.0,11.0,1
673.5156860351562,13.003000259399414,9.920000076293944,2685.0,9.0,51.0,637.0,0.0,1.0,1.0,637.0,0.0,0.0,2.0830001831054688,0.3801708744265268,4.0,0
3902.205810546875,27.11600083857775,22.309999465942383,13469.0,60.0,50.0,181.0,3.0,5.0,0.0,181.0,334.6000013351441,614.0,4.706001371145248,0.3801708744265268,10.0,0
10076.399963378906,75.03000065684319,33.8799991607666,564.0,5.0,54.0,611.0,2.0,4.0,26.0,611.0,137.98330160975456,0.0,8.510001510381697,0.2262153794661535,5.0,0
1342.506591796875,33.19899959862232,15.699999809265137,10819.0,93.0,59.0,643.0,0.0,1.0,6.0,643.0,114.34999793767928,0.0,4.72069975733757,0.2288102184025861,6.0,1
5294.6884765625,18.996999740600582,15.699999809265137,40668.0,77.0,67.0,994.0,3.0,1.0,0.0,994.0,333.9501045942306,2.0,3.2969999313354488,0.1809169764560099,4.0,0
0.0015999999595806,29.00399971008301,23.96999931335449,1499.0,9.0,68.0,1456.0,0.0,1.0,0.0,1457.0,313.5333962440492,2.0,5.0340003967285165,0.3550297627950106,9.0,0
977.2352294921876,59.00500011444092,21.489999771118164,57.0,1.0,36.0,664.0,0.0,1.0,27.0,664.0,294.5333969593048,0.0,5.55500030517578,0.3550297627950106,4.0,0
6640.20361328125,40.99900102615357,32.230000495910645,55938.0,115.0,27.0,502.0,0.0,2.0,2.0,498.0,330.0499943681061,0.0,6.76900053024292,0.1431342318595514,12.0,0
6132.7061767578125,54.99899959564209,15.699999809265137,2306.0,19.0,53.0,1125.0,2.0,2.0,30.0,1125.0,17.21670013666153,2.0,4.3389997482299805,0.2288102184025861,6.0,1
61653.87761306763,37.70999974757433,28.499999046325684,355.0,2.0,52.0,1274.0,3.0,1.0,0.0,1274.0,449.9500992298126,5.0,6.545000642538072,0.1990157644507464,1.0,0
4312.22900390625,97.70600128173828,32.22999954223633,3375.0,20.0,33.0,831.0,0.0,1.0,34.0,831.0,50.36659979820252,1.0,11.056002140045166,0.3550297627950106,10.0,1
760.0349731445312,10.890000343322754,9.0,0.0,0.0,72.0,2288.0,0.0,1.0,0.0,2288.0,0.0,0.0,1.8900003433227537,0.2180333278336908,6.0,0
12592.542083740234,61.94300325959921,40.14999866485597,25929.0,144.0,42.0,94.0,4.0,6.0,13.0,94.0,405.8499074280262,1388.0,8.493004590272902,0.2738349984325805,1.0,1
18665.16015625,50.15500068664551,26.45000076293945,12384.0,142.0,35.0,27.0,0.0,1.0,0.0,0.0,173.7833981513977,0.0,8.704999923706055,0.2915543273119439,2.0,1
2440.2909698486333,38.11499948054553,31.399999618530277,0.0,0.0,67.0,693.0,0.0,2.0,0.0,693.0,29.70000004768372,0.0,6.614999860525131,0.299551179962357,9.0,0
22231.18798828125,52.823002338409424,41.31999969482422,39374.0,149.0,54.0,162.0,1.0,1.0,0.0,159.0,505.4167969226837,0.0,9.169002532958984,0.0,9.0,0
